PassengerId,Survived
892,0.0552
893,0.2613
894,0.0471
895,0.2253
896,0.6124
897,0.1067
898,0.4997
899,0.1514
900,0.9049
901,0.1019
902,0.0664
903,0.1432
904,0.9893
905,0.035
906,0.9111
907,0.9144
908,0.1086
909,0.129
910,0.5215
911,0.5605
912,0.1671
913,0.5664
914,0.955
915,0.6396
916,0.9113
917,0.0231
918,0.9822
919,0.1081
920,0.3816
921,0.1273
922,0.1001
923,0.1949
924,0.6951
925,0.4717
926,0.6539
927,0.1009
928,0.5193
929,0.495
930,0.0678
931,0.5616
932,0.0346
933,0.4157
934,0.1831
935,0.9349
936,0.964
937,0.1453
938,0.1885
939,0.0863
940,0.956
941,0.707
942,0.7275
943,0.1509
944,0.9013
945,0.978
946,0.1518
947,0.0405
948,0.0484
949,0.0759
950,0.0481
951,0.975
952,0.0743
953,0.2525
954,0.078
955,0.7529
956,0.8651
957,0.9441
958,0.7596
959,0.1957
960,0.3627
961,0.9213
962,0.6498
963,0.0698
964,0.5762
965,0.2374
966,0.9843
967,0.6944
968,0.0732
969,0.8721
970,0.2168
971,0.6986
972,0.7318
973,0.5096
974,0.27
975,0.0664
976,0.1581
977,0.0507
978,0.738
979,0.6769
980,0.6029
981,0.9254
982,0.5702
983,0.0845
984,0.9498
985,0.0736
986,0.3462
987,0.1054
988,0.957
989,0.1735
990,0.6641
991,0.0689
992,0.9699
993,0.0914
994,0.0706
995,0.1145
996,0.7908
997,0.097
998,0.0937
999,0.1057
1000,0.0836
1001,0.1375
1002,0.0896
1003,0.7433
1004,0.9143
1005,0.7196
1006,0.9561
1007,0.0552
1008,0.0513
1009,0.8862
1010,0.7478
1011,0.9139
1012,0.9364
1013,0.1009
1014,0.9851
1015,0.0747
1016,0.0877
1017,0.6507
1018,0.1269
1019,0.7968
1020,0.1476
1021,0.0666
1022,0.2703
1023,0.3008
1024,0.1658
1025,0.0353
1026,0.0372
1027,0.0778
1028,0.1864
1029,0.1249
1030,0.4819
1031,0.019
1032,0.1009
1033,0.985
1034,0.4949
1035,0.1658
1036,0.5089
1037,0.0822
1038,0.5521
1039,0.0972
1040,0.4157
1041,0.2502
1042,0.9934
1043,0.0664
1044,0.049
1045,0.5768
1046,0.2114
1047,0.0914
1048,0.9739
1049,0.627
1050,0.5535
1051,0.7023
1052,0.7516
1053,0.8043
1054,0.8662
1055,0.0517
1056,0.1664
1057,0.5894
1058,0.2119
1059,0.0217
1060,0.9755
1061,0.4763
1062,0.07
1063,0.2425
1064,0.0509
1065,0.0991
1066,0.0692
1067,0.9405
1068,0.9442
1069,0.2407
1070,0.97
1071,0.9303
1072,0.1709
1073,0.541
1074,0.9748
1075,0.1037
1076,0.983
1077,0.1134
1078,0.8844
1079,0.11
1080,0.2028
1081,0.0789
1082,0.1026
1083,0.3947
1084,0.6116
1085,0.0475
1086,0.882
1087,0.0566
1088,0.9839
1089,0.6006
1090,0.108
1091,0.6784
1092,0.577
1093,0.7175
1094,0.7826
1095,0.9374
1096,0.1058
1097,0.212
1098,0.4819
1099,0.1007
1100,0.9127
1101,0.0642
1102,0.1049
1103,0.0478
1104,0.5511
1105,0.6678
1106,0.1294
1107,0.2274
1108,0.7529
1109,0.4651
1110,0.9757
1111,0.0661
1112,0.8034
1113,0.0707
1114,0.9026
1115,0.1672
1116,0.8387
1117,0.6821
1118,0.0926
1119,0.7264
1120,0.0579
1121,0.1279
1122,0.5904
1123,0.9595
1124,0.0656
1125,0.0716
1126,0.4509
1127,0.088
1128,0.1999
1129,0.1857
1130,0.87
1131,0.9595
1132,0.9312
1133,0.8932
1134,0.8374
1135,0.0632
1136,0.5835
1137,0.4433
1138,0.9568
1139,0.1138
1140,0.8772
1141,0.5568
1142,0.9391
1143,0.1453
1144,0.9281
1145,0.0709
1146,0.0725
1147,0.0728
1148,0.081
1149,0.0644
1150,0.891
1151,0.0999
1152,0.0356
1153,0.094
1154,0.9359
1155,0.8343
1156,0.1095
1157,0.0664
1158,0.0891
1159,0.0728
1160,0.5159
1161,0.0804
1162,0.5237
1163,0.0877
1164,0.9881
1165,0.6409
1166,0.0863
1167,0.8885
1168,0.1315
1169,0.0685
1170,0.0716
1171,0.1397
1172,0.4786
1173,0.8555
1174,0.6029
1175,0.7371
1176,0.8705
1177,0.0511
1178,0.0686
1179,0.8081
1180,0.093
1181,0.0704
1182,0.2553
1183,0.4388
1184,0.093
1185,0.6453
1186,0.0567
1187,0.0681
1188,0.959
1189,0.1273
1190,0.3068
1191,0.0763
1192,0.0778
1193,0.124
1194,0.0582
1195,0.0698
1196,0.6656
1197,0.8547
1198,0.6929
1199,0.7522
1200,0.477
1201,0.3172
1202,0.0789
1203,0.2081
1204,0.0765
1205,0.3889
1206,0.9406
1207,0.7796
1208,0.4601
1209,0.1143
1210,0.1887
1211,0.2078
1212,0.1145
1213,0.1341
1214,0.1301
1215,0.4871
1216,0.959
1217,0.0682
1218,0.9517
1219,0.4205
1220,0.1631
1221,0.1249
1222,0.8878
1223,0.2097
1224,0.0721
1225,0.8191
1226,0.1015
1227,0.394
1228,0.2816
1229,0.0318
1230,0.2033
1231,0.8479
1232,0.1732
1233,0.0655
1234,0.1196
1235,0.9141
1236,0.8328
1237,0.643
1238,0.1217
1239,0.6567
1240,0.1179
1241,0.9085
1242,0.9519
1243,0.107
1244,0.5492
1245,0.2427
1246,0.8418
1247,0.1558
1248,0.9341
1249,0.1058
1250,0.0877
1251,0.5185
1252,0.1634
1253,0.9472
1254,0.9523
1255,0.2253
1256,0.9809
1257,0.3961
1258,0.046
1259,0.5565
1260,0.9679
1261,0.2315
1262,0.0725
1263,0.9932
1264,0.0469
1265,0.1173
1266,0.9599
1267,0.9228
1268,0.4483
1269,0.1124
1270,0.1618
1271,0.4593
1272,0.0706
1273,0.0973
1274,0.6191
1275,0.7395
1276,0.1684
1277,0.9662
1278,0.0808
1279,0.0525
1280,0.0829
1281,0.0629
1282,0.8506
1283,0.8676
1284,0.7139
1285,0.0645
1286,0.0413
1287,0.9864
1288,0.0819
1289,0.9809
1290,0.0907
1291,0.088
1292,0.9757
1293,0.0548
1294,0.9809
1295,0.3783
1296,0.3258
1297,0.2306
1298,0.0643
1299,0.557
1300,0.7529
1301,0.8566
1302,0.6043
1303,0.9898
1304,0.4825
1305,0.0696
1306,0.9183
1307,0.0686
1308,0.0732
1309,0.8802
